Status,VendorCode,VendorName,JV Date,InvoiceNo,"InvoiceDate ",Description,InvoiceAmt,Total GST,IGSTAmount,CGSTAmount,SGSTAmount,TdsAmount,Payable,ExpenseCode,RoundOff,Invoice Created By
BankFile Generated,SC02,KOCHAR PROPERTIES PVT LTD,2024-09-02,285/24-25,2024-09-02,"KOCHAR-MAINTSEP,Kochar Maintenance Month Of Sep-2024",82471.00,14844.78,0.00,7422.39,7422.39,1649.00,95667.00,MAINTKOCHAR,0.22,shaji@flattrade.in
BankFile Generated,SC02,KOCHAR PROPERTIES PVT LTD,2024-09-02,268/24-25,2024-09-02,"KOCHAR-RENTSEP, Kochar Rent Month Of Sep-2024",313390.00,56410.20,0.00,28205.10,28205.10,31339.00,338461.00,EXP045,-0.20,shaji@flattrade.in
BankFile Generated,SC02,KOCHAR PROPERTIES PVT LTD,2024-09-05,299/24-25,2024-09-05,"KOCHAR-EB,Eb charges for Chennai HO Aug-2024",151737.00,27312.66,0.00,13656.33,13656.33,0.00,179050.00,EXP031,0.34,shaji@flattrade.in
BankFile Generated,SC01,S.A.COMPUTER FORMS,2024-09-12,027-24-25,2024-09-12,"SACOM-LETTERHEAD,Letterhead Purchased Total Count-3000",18000.00,3240.00,0.00,1620.00,1620.00,0.00,21240.00,EXP007,0.00,shaji@flattrade.in
BankFile Generated,SC02,KOCHAR PROPERTIES PVT LTD,2024-10-01,345/24-25,2024-10-01,"KOCHAR-MAINTOCT,Kochar Maintenance Month Of Oct-2024",82471.00,14844.78,0.00,7422.39,7422.39,1649.00,95667.00,MAINTKOCHAR,0.22,shaji@flattrade.in
BankFile Generated,SC02,KOCHAR PROPERTIES PVT LTD,2024-10-01,328/24-25,2024-10-01,"KOCHAR-RENTOCT, Kochar Rent Month Of Oct-2024",313390.00,56410.20,0.00,28205.10,28205.10,31339.00,338461.00,EXP045,-0.20,shaji@flattrade.in
BankFile Generated,SC02,KOCHAR PROPERTIES PVT LTD,2024-09-08,357/24-25,2024-09-08,"KOCHAR-EB,Eb charges for Chennai HO Sep-2024",133382.00,24008.76,0.00,12004.38,12004.38,0.00,157391.00,EXP031,0.24,shaji@flattrade.in
BankFile Generated,SC01,S.A.COMPUTER FORMS,2024-10-14,034/24-25,2024-10-14,"SACOM-IDFOLDERS,ID card folders purchased qty 50",750.00,136.00,0.00,68.00,68.00,0.00,886.00,EXP007,0.00,shaji@flattrade.in
BankFile Generated,SC01,S.A.COMPUTER FORMS,2024-08-14,025/24-25,2024-08-14,"SACOM-IDCARDS, ID cards visiting cards purchased",2400.00,432.00,0.00,216.00,216.00,0.00,2832.00,EXP007,0.00,shaji@flattrade.in
BankFile Generated,SC02,KOCHAR PROPERTIES PVT LTD,2024-11-01,397/24-25,2024-11-01,"KOCHAR-MAINTNOV,Kochar Maintenance Month Of Nov-2024",82471.00,14844.78,0.00,7422.39,7422.39,1649.00,95667.00,MAINTKOCHAR,0.22,shaji@flattrade.in
BankFile Generated,SC02,KOCHAR PROPERTIES PVT LTD,2024-11-01,380/24-25,2024-11-01,"KOCHAR-RENTNOV,Kochar Maintenance Month Of Nov-2024",313390.00,56410.20,0.00,28205.10,28205.10,31339.00,338461.00,EXP045,-0.20,shaji@flattrade.in
BankFile Generated,SC02,KOCHAR PROPERTIES PVT LTD,2024-11-08,409/24-25,2024-11-08,"KOCHAR-EB,Eb charges for Chennai HO oct-2024",142136.00,25584.48,0.00,12792.24,12792.24,0.00,167720.00,EXP031,-0.48,shaji@flattrade.in
BankFile Generated,SC01,S.A.COMPUTER FORMS,2024-10-21,036/24-25,2024-10-21,"SACOM-ROPE, id Rope  purchased",14000.00,2520.00,0.00,1260.00,1260.00,0.00,16520.00,EXP007,0.00,shaji@flattrade.in
BankFile Generated,SC02,KOCHAR PROPERTIES PVT LTD,2024-12-02,451/24-25,2024-12-02,"KOCHAR-MAINTDEC,Kochar Maintenance Month Of Dec-2024",82471.00,14844.78,0.00,7422.39,7422.39,1649.00,95667.00,MAINTKOCHAR,0.22,shaji@flattrade.in
BankFile Generated,SC02,KOCHAR PROPERTIES PVT LTD,2024-12-02,434/24-25,2024-12-02,"KOCHAR-RENTDEC,Kochar Rent for Month Of Dec-2024",313390.00,56410.20,0.00,28205.10,28205.10,31339.00,338461.00,EXP045,-0.20,shaji@flattrade.in
BankFile Generated,SC02,KOCHAR PROPERTIES PVT LTD,2024-12-07,463/24-25,2024-12-07,"KOCHAR-EBCHARG,EB charges for kochar tech Nov-2024",125138.00,22524.84,0.00,11262.42,11262.42,0.00,147663.00,EXP031,0.16,shaji@flattrade.in
BankFile Generated,SC02,KOCHAR PROPERTIES PVT LTD,2025-01-01,507/24-25,2025-01-01,"KOCHAR-MAINTJAN,Kochar Maintenance Month Of Jan--2025",82471.00,14844.78,0.00,7422.39,7422.39,1649.00,95667.00,MAINTKOCHAR,0.22,shaji@flattrade.in
BankFile Generated,SC02,KOCHAR PROPERTIES PVT LTD,2025-01-01,490/24-25,2025-01-01,"KOCHAR-RENTJAN,Kochar Rent for Month Of Jan-2024",313390.00,56410.20,0.00,28205.10,28205.10,31339.00,338461.00,EXP045,-0.20,shaji@flattrade.in
BankFile Generated,SC02,KOCHAR PROPERTIES PVT LTD,2025-01-08,520/24-25,2025-01-08,"KOCHAR-EBCHARG,EB charges for kochar tech Dec-2024",124424.00,22396.32,0.00,11198.16,11198.16,0.00,146820.00,EXP031,-0.32,shaji@flattrade.in
BankFile Verified,SC02,KOCHAR PROPERTIES PVT LTD,2025-02-01,547/24-25,2025-02-01,"KOCHAR-RENTFEB,Kochar Rent for Month Of Feb-2025",313390.00,56410.20,0.00,28205.10,28205.10,31339.00,338461.00,EXP045,-0.20,shaji@flattrade.in
BankFile Verified,SC02,KOCHAR PROPERTIES PVT LTD,2025-02-01,562/24-25,2025-02-01,"KOCHAR-MAINTFEB,Kochar Maintenance Month Of Feb--2025",82471.00,14844.78,0.00,7422.39,7422.39,1649.00,95667.00,MAINTKOCHAR,0.22,shaji@flattrade.in
BankFile Verified,SC02,KOCHAR PROPERTIES PVT LTD,2025-01-08,580/24-25,2025-01-08,"KOCHAR-EB,Eb charges for Chennai HO Jan-2025",130283.00,23450.94,0.00,11725.47,11725.47,0.00,153734.00,EXP031,0.06,shaji@flattrade.in
BankFile Generated,SC01,S.A.COMPUTER FORMS,2025-02-17,053/24-25,2025-02-17,"SACOM-ROPE, id Rope, id cards and visiting cards purchased Hari(HR),Surya, Gunaseelan",6840.00,1232.00,0.00,616.00,616.00,0.00,8072.00,EXP007,0.00,shaji@flattrade.in
BankFile Generated,SC01,S.A.COMPUTER FORMS,2025-02-24,056/24-25,2025-02-24,"SACOM-FOAM,4*4 Foam board",2950.00,532.00,0.00,266.00,266.00,0.00,3482.00,EXP007,0.00,shaji@flattrade.in
BankFile Verified,SC02,KOCHAR PROPERTIES PVT LTD,2025-03-01,605/24-25,2025-03-01,"KOCHAR-RENTFEB,Kochar Rent for Month Of Mar-2025",313390.00,56410.20,0.00,28205.10,28205.10,31339.00,338461.00,EXP045,-0.20,meena@flattrade.in
BankFile Verified,SC02,KOCHAR PROPERTIES PVT LTD,2025-03-01,619/24-25,2025-03-01,"KOCHAR-MAINTFEB, Kochar Maintenance Month Of Mar--2025",82471.00,14844.78,0.00,7422.39,7422.39,1649.00,95667.00,MAINTKOCHAR,0.22,meena@flattrade.in
BankFile Generated,SC02,KOCHAR PROPERTIES PVT LTD,2025-03-05,636/24-25,2025-03-05,"KOCHAR-EB,Eb charges for Chennai HO Feb-2025",128470.00,23124.60,0.00,11562.30,11562.30,0.00,151595.00,EXP031,0.40,shaji@flattrade.in
Rejected,SC01,S.A.COMPUTER FORMS,2025-03-24,049/24-25,2025-03-24,"SACOM-CARD, id folders, id cards and visiting cards purchased",4455.00,801.90,0.00,400.95,400.95,0.00,5257.00,EXP007,0.10,shaji@flattrade.in
BankFile Verified,SC02,KOCHAR PROPERTIES PVT LTD,2025-04-01,022/25-26,2025-04-01,"KOCHAR-MAINTAPR, Kochar Maintenance Month Of Apr--2025",82471.00,14844.78,0.00,7422.39,7422.39,1649.00,95667.00,MAINTKOCHAR,0.22,elakiya.r@flattrade.in
BankFile Verified,SC02,KOCHAR PROPERTIES PVT LTD,2025-04-01,009/25-26,2025-04-01,"KOCHAR-RENTAPR,Kochar Rent for Month Of APR-2025",313390.00,56410.20,0.00,28205.10,28205.10,31339.00,338461.00,EXP045,-0.20,elakiya.r@flattrade.in
BankFile Generated,SC01,S.A.COMPUTER FORMS,2025-03-19,060/24-25,2025-03-19,"SACOM-IDCARD, ID card Purchased for new joiners & visiting card purchased for Arokya manoj kumar.",2130.00,384.00,0.00,192.00,192.00,0.00,2514.00,EXP007,0.00,shaji@flattrade.in
BankFile Generated,SC01,S.A.COMPUTER FORMS,2025-03-29,063/24-25,2025-03-29,SACOM-FOAM-ID card purchased for new joiners,630.00,116.00,0.00,58.00,58.00,0.00,746.00,EXP007,0.00,shaji@flattrade.in
BankFile Verified,SC02,KOCHAR PROPERTIES PVT LTD,2025-04-04,KPPL/039/25-26,2025-04-04,"KOCHAR-EB,Eb charges for Chennai HO MAR-2025",147754.00,26595.72,0.00,13297.86,13297.86,0.00,174350.00,EXP031,0.28,shaji@flattrade.in
BankFile Generated,SC01,S.A.COMPUTER FORMS,2025-04-01,049/24-25-1,2025-04-01,"SACOM-CARD, id folders, id cards and visiting cards purchased STAFF",4455.00,802.00,0.00,401.00,401.00,0.00,5257.00,EXP007,0.00,elakiya.r@flattrade.in
BankFile Generated,SC01,S.A.COMPUTER FORMS,2025-04-28,004/25-26,2025-04-28,SACOM-ID CARD id cards & folder purchased for staffs,4020.00,724.00,0.00,362.00,362.00,80.00,4664.00,EXP007,0.00,elakiya.r@flattrade.in
BankFile Verified,SC02,KOCHAR PROPERTIES PVT LTD,2025-05-02,077/25-26,2025-05-02,"KOCHAR-MAINTAPR, Kochar Maintenance Month Of MAY--2025",82471.00,14844.78,0.00,7422.39,7422.39,1649.00,95667.00,MAINTKOCHAR,0.22,elakiya.r@flattrade.in
BankFile Verified,SC02,KOCHAR PROPERTIES PVT LTD,2025-05-02,063/25-26,2025-05-02,"KOCHAR-RENTAPR,Kochar Rent for Month Of MAY-2025",313390.00,56410.20,0.00,28205.10,28205.10,31339.00,338461.00,EXP045,-0.20,elakiya.r@flattrade.in
BankFile Generated,SC01,S.A.COMPUTER FORMS,2025-04-30,062/24-25,2025-04-30,"SACOM-CARD, id card purchased for staff",1530.00,276.00,0.00,138.00,138.00,0.00,1806.00,EXP007,0.00,elakiya.r@flattrade.in
BankFile Verified,SC02,KOCHAR PROPERTIES PVT LTD,2025-05-08,KPPL/108/25-26,2025-05-08,"KOCHAR-EB,Eb charges for Chennai HO APR-2025",153503.00,27630.54,0.00,13815.27,13815.27,0.00,181134.00,EXP031,0.46,elakiya.r@flattrade.in
BankFile Verified,SC02,KOCHAR PROPERTIES PVT LTD,2025-06-02,KPPL/156/25-26,2025-06-02,"KOCHAR-MAINTJUNE, Kochar Maintenance Month Of JUNE--2025",82471.00,14844.78,0.00,7422.39,7422.39,1649.00,95667.00,MAINTKOCHAR,0.22,elakiya.r@flattrade.in
BankFile Verified,SC02,KOCHAR PROPERTIES PVT LTD,2025-06-02,KPPL/142/25-26,2025-06-02,"KOCHAR-RENTJUNE,Kochar Rent for Month of JUNE-2025",313390.00,56410.20,0.00,28205.10,28205.10,31339.00,338461.00,EXP045,-0.20,elakiya.r@flattrade.in
Payment Approved,SC02,KOCHAR PROPERTIES PVT LTD,2025-06-09,KPPL/175/25-26,2025-06-09,"KOCHAR-EB,Eb charges for chennai HO MAY-2025",167399.00,30131.82,0.00,15065.91,15065.91,0.00,197530.82,EXP031,0.00,elakiya.r@flattrade.in
Payment Approved,SC01,S.A.COMPUTER FORMS,2025-06-11,008/25-26,2025-06-11,"SACOM-CARD,ID folder and visiting cards purchased for staff ( Mohammed Haroon)",1100.00,200.00,0.00,100.00,100.00,22.00,1278.00,EXP007,0.00,elakiya.r@flattrade.in
Payment Approved,SC01,S.A.COMPUTER FORMS,2025-06-01,007/25-26,2025-06-01,"SACOM-CARD,Vouchar pad and ID cards purchased for staff",2810.00,506.00,0.00,253.00,253.00,56.00,3260.00,EXP007,0.00,elakiya.r@flattrade.in
Payment Approved,SC03,MADURAI OFFICE PETTY CASH EXPENSES,2023-12-21,4762,2023-12-21,"MADURAI-BATTERY EXP,Battery purchased",240.00,0.00,0.00,0.00,0.00,0.00,240.00,EXP058,0.00,shaji@flattrade.in
Payment Approved,SC03,MADURAI OFFICE PETTY CASH EXPENSES,2023-12-21,vou,2023-12-21,"MADURAI OFF EXP-BUS FARE,Bala krishnan Bus fare from coimbatore to paramakudi",432.95,0.00,0.00,0.00,0.00,0.00,432.95,TRA,0.00,shaji@flattrade.in
Payment Approved,SC03,MADURAI OFFICE PETTY CASH EXPENSES,2023-12-21,163,2023-12-21,"MADURAI OFF EXP-WATER,Water expenses for nov-2023",690.00,0.00,0.00,0.00,0.00,0.00,690.00,EXP042,0.00,shaji@flattrade.in
Payment Approved,SC03,MADURAI OFFICE PETTY CASH EXPENSES,2023-12-21,1112,2023-12-21,"MADURAI OFF EXP-COURIER,Courier charges",50.00,0.00,0.00,0.00,0.00,0.00,50.00,POST,0.00,shaji@flattrade.in
Payment Approved,SC03,MADURAI OFFICE PETTY CASH EXPENSES,2023-12-21,vouch,2023-12-21,"MADURAI OFF EXP-HK EXP,House keeping expenses",3384.00,0.00,0.00,0.00,0.00,0.00,3384.00,EXP058,0.00,shaji@flattrade.in
Payment Approved,SC03,MADURAI OFFICE PETTY CASH EXPENSES,2023-12-21,130,2023-12-21,"MADURAI OFF EXP-HK ITEMS,Housekeeping item purchased",1512.00,0.00,0.00,0.00,0.00,0.00,1512.00,OFF-MAIN,0.00,shaji@flattrade.in
Payment Approved,SC03,MADURAI OFFICE PETTY CASH EXPENSES,2023-12-21,109612600,2023-12-21,"MADURAI OFF EXP-ACT FIBERNET,Madurai Branch internet charges  dec-2023",2653.82,0.00,0.00,0.00,0.00,0.00,2653.82,EXP064,0.00,shaji@flattrade.in
Payment Approved,SC03,MADURAI OFFICE PETTY CASH EXPENSES,2023-12-21,9168,2023-12-21,"MADURAI OFF EXP-MOP, mop purchased",430.00,0.00,0.00,0.00,0.00,0.00,430.00,EXP058,0.00,shaji@flattrade.in
BankFile Generated,SC03,MADURAI OFFICE PETTY CASH EXPENSES,2024-01-22,664,2024-01-17,"MADU-TONER,Madurai Branch Toner Replaced",1300.00,0.00,0.00,0.00,0.00,0.00,1300.00,EXP007,0.00,shaji@flattrade.in
BankFile Generated,SC03,MADURAI OFFICE PETTY CASH EXPENSES,2024-01-22,184,2024-01-22,MADU-WATER-Madurai Water Expenses Dec-2023,780.00,0.00,0.00,0.00,0.00,0.00,780.00,EXP046,0.00,shaji@flattrade.in
BankFile Generated,SC03,MADURAI OFFICE PETTY CASH EXPENSES,2024-01-22,VOU-4,2024-01-22,"MADU-OFF EXP,House Keeping Expenses Dec-2023",3150.00,0.00,0.00,0.00,0.00,0.00,3150.00,EXP058,0.00,shaji@flattrade.in
BankFile Generated,SC03,MADURAI OFFICE PETTY CASH EXPENSES,2024-01-22,1632/1,2024-01-22,MADU-OFFICEMAINT-House Keeping Items and Tube lite Purchased,1329.00,0.00,0.00,0.00,0.00,0.00,1329.00,OFF-MAIN,0.00,shaji@flattrade.in
BankFile Generated,SC03,MADURAI OFFICE PETTY CASH EXPENSES,2024-01-22,729,2024-01-22,"MADU-CAB CHARGES,Madurai To Salaigramam AND Salaigramam To Madurai 2trip",5145.00,0.00,0.00,0.00,0.00,0.00,5145.00,TRA,0.00,shaji@flattrade.in
BankFile Generated,SC03,MADURAI OFFICE PETTY CASH EXPENSES,2024-01-22,vou-5,2024-01-22,"MADU-ACT FIBERNET,Madurai Branch Internet Bill Jan-2024",2653.82,0.00,0.00,0.00,0.00,0.00,2653.82,EXP064,0.00,shaji@flattrade.in
BankFile Generated,SC03,MADURAI OFFICE PETTY CASH EXPENSES,2024-01-22,986,2024-01-22,"MADU-CAKE,Madurai Branch Zero brokerage celebration",3944.68,0.00,0.00,0.00,0.00,0.00,3944.68,EXP046,0.00,shaji@flattrade.in
BankFile Generated,SC03,MADURAI OFFICE PETTY CASH EXPENSES,2024-01-22,VOU-6,2024-01-22,"MADU-COURIER,Madurai Branch Courier bill",50.00,0.00,0.00,0.00,0.00,0.00,50.00,POST,0.00,shaji@flattrade.in
BankFile Generated,SC03,MADURAI OFFICE PETTY CASH EXPENSES,2024-02-15,113855458,2024-02-15,"MADU-ACT FIBERNET,Madurai Branch Internet Bill Feb-2024",2653.82,0.00,0.00,0.00,0.00,0.00,2653.82,EXP064,0.00,shaji@flattrade.in
BankFile Generated,SC03,MADURAI OFFICE PETTY CASH EXPENSES,2024-03-01,115621096,2024-03-01,"MADU-ACT FIBERNET,Madurai Branch Internet Bill Mar-2024",2653.82,0.00,0.00,0.00,0.00,0.00,2653.82,EXP064,0.00,shaji@flattrade.in
BankFile Generated,SC03,MADURAI OFFICE PETTY CASH EXPENSES,2024-02-29,2001217,2024-02-29,"PRASANNA-LADDU,Laddu purchased",2860.00,0.00,0.00,0.00,0.00,0.00,2860.00,EXP046,0.00,shaji@flattrade.in
